Module,Controller,HTTP Method,Endpoint,Description,Authentication Required,Authorization Level,Request Body Type,Response Type
Compliance - Case Management,ComplianceController,GET,/api/compliance/cases/{caseId},Get case details by ID,Yes,OFFICER or ADMIN or ROLE_OFFICER,None,JSON (CaseDto)
Admin - Users,AdminController,GET,/api/admin/users,Get all users,Yes,ROLE_ADMIN or ROLE_SUPER_ADMIN,None,JSON (List<UserDto>)
Admin - Users,AdminController,POST,/api/admin/users,Create new user,Yes,ROLE_ADMIN or ROLE_SUPER_ADMIN,JSON (CreateUserDto),JSON (UserDto)
Admin - Rules,AdminController,GET,/api/admin/rules,Get all AML rules,Yes,ROLE_ADMIN or ROLE_SUPER_ADMIN,None,JSON (List<RuleDto>)
Admin - Rules,AdminController,POST,/api/admin/rules,Create new AML rule,Yes,ROLE_ADMIN or ROLE_SUPER_ADMIN,JSON (RuleDto),JSON (RuleDto)
Admin - Keywords,AdminController,GET,/api/admin/keywords,Get all suspicious keywords,Yes,ROLE_ADMIN or ROLE_SUPER_ADMIN,None,JSON (List<SuspiciousKeywordDto>)
Admin - Keywords,AdminController,POST,/api/admin/keywords,Add suspicious keyword,Yes,ROLE_ADMIN or ROLE_SUPER_ADMIN,JSON (SuspiciousKeywordDto),JSON (SuspiciousKeywordDto)
Admin - Accounts,AdminController,GET,/api/admin/accounts,Get all bank accounts,Yes,ROLE_ADMIN or ROLE_SUPER_ADMIN,None,JSON (List<BankAccountDto>)
Admin - Accounts,AdminController,GET,/api/admin/accounts/pending,Get pending approval accounts,Yes,ROLE_ADMIN or ROLE_SUPER_ADMIN,None,JSON (List<BankAccountDto>)
Admin - Accounts,AdminController,GET,/api/admin/accounts/{id},Get account by ID,Yes,ROLE_ADMIN or ROLE_SUPER_ADMIN,None,JSON (BankAccountDto)
Admin - Accounts,AdminController,POST,/api/admin/accounts/{id}/approve,Approve bank account,Yes,ROLE_ADMIN or ROLE_SUPER_ADMIN,None,JSON (BankAccountDto)
Admin - Accounts,AdminController,POST,/api/admin/accounts/{id}/reject,Reject bank account,Yes,ROLE_ADMIN or ROLE_SUPER_ADMIN,None,JSON (BankAccountDto)
Admin - Accounts,AdminController,POST,/api/admin/accounts/{id}/suspend,Suspend bank account,Yes,ROLE_ADMIN or ROLE_SUPER_ADMIN,None,JSON (BankAccountDto)
Admin - Accounts,AdminController,POST,/api/admin/accounts/{id}/activate,Activate bank account,Yes,ROLE_ADMIN or ROLE_SUPER_ADMIN,None,JSON (BankAccountDto)
Admin - Debug,AdminController,GET,/api/admin/debug/auth,Debug authentication info,Yes,Public (permitAll),None,JSON (authentication details)
Admin - Compliance Officers,AdminController,POST,/api/admin/compliance-officers,Create compliance officer,Yes,ROLE_ADMIN or ROLE_SUPER_ADMIN,JSON (CreateUserDto),JSON (UserDto)
Admin - Compliance Officers,AdminController,POST,/api/admin/compliance-officers/{userId},Add existing user as compliance officer,Yes,ROLE_ADMIN or ROLE_SUPER_ADMIN,None,JSON (UserDto)
Admin - Compliance Officers,AdminController,POST,/api/admin/compliance-officers/{userId}/remove,Remove compliance officer role,Yes,ROLE_ADMIN or ROLE_SUPER_ADMIN,None,JSON (UserDto)
Admin - Compliance Officers,AdminController,GET,/api/admin/compliance-officers,Get all compliance officers,Yes,ROLE_ADMIN or ROLE_SUPER_ADMIN,None,JSON (List<UserDto>)
Admin - Customer Management,AdminController,POST,/api/admin/customers/{userId}/block,Block customer,Yes,ROLE_ADMIN or ROLE_SUPER_ADMIN,Query Parameter (reason),JSON (UserDto)
Admin - Customer Management,AdminController,POST,/api/admin/customers/{userId}/unblock,Unblock customer,Yes,ROLE_ADMIN or ROLE_SUPER_ADMIN,None,JSON (UserDto)
Admin - Customer Management,AdminController,GET,/api/admin/customers/blocked,Get blocked customers,Yes,ROLE_ADMIN or ROLE_SUPER_ADMIN,None,JSON (List<UserDto>)
Admin - Audit Logs,AdminController,GET,/api/admin/audit-logs,Get all audit logs,Yes,ROLE_ADMIN or ROLE_SUPER_ADMIN,None,JSON (List<AuditLog>)
Admin - Audit Logs,AdminController,GET,/api/admin/audit-logs/user/{username},Get audit logs by username,Yes,ROLE_ADMIN or ROLE_SUPER_ADMIN,None,JSON (List<AuditLog>)
Admin - Audit Logs,AdminController,GET,/api/admin/audit-logs/action/{action},Get audit logs by action,Yes,ROLE_ADMIN or ROLE_SUPER_ADMIN,None,JSON (List<AuditLog>)
Rule Engine,TransactionController (Rule Engine),POST,/api/transactions/initiate,Initiate transaction for rule evaluation,No,Public,Query Parameters (customerId & amount & currency & receiverCountryCode & description),JSON (Transaction)
